id,JobTitle,Category,CompanyName,Description,Requirements,Responsibility,SalaryRange,Benefits,PostingDate,WorkType,Location
17,Security Engineer,IT,Lockdown Security,Implement and monitor security solutions across systems,"Security certifications like CISA, CISSP","Evaluate vulnerabilities, remediate threats","$90,000-$120,000","Remote work, annual training stipend",2023/4/5,Full-time,Brisbane
18,Software Developer,Engineering,Binary Solutions,"Design, implement, and support software solutions","3+ years experience with Java, C#, Python or Ruby","Write clean, maintainable code, troubleshoot issues","$80,000-$100,000","Unlimited PTO, equity incentives",2023/5/29,Full-time,Adelaide
19,Cloud Engineer,IT,SkyNet Cloud,"Design, implement, and monitor cloud infrastructure","AWS/Azure/GCP certifications, 3+ years experience ","Migrate systems to cloud, optimize costs","$100,000-$130,000","Annual cloud training stipend, remote work",2023/4/11,Full-time,Brisbane
20,Full Stack Developer,Engineering,Wallaby Software,"Design front end and back end architecture, develop features","3+ years experience with React, Node.js, MongoDB","Implement responsive UIs, develop REST APIs","$90,000-$120,000","Unlimited PTO, annual tech budget",2023/5/2,Full-time,Melbourne
21,Embedded Software Engineer,Engineering,IoT Devices,Develop firmware and OS software for embedded devices,"3+ years experience with C/C++, knowledge of embedded systems",Optimize performance for resource-constrained devices,"$80,000-$100,000","401k matching, flexible work arrangements",2023/4/19,Full-time,Brisbane
22,Technical Writer,Writing,Written Word,"Create user guides, online help, and process documentation ","2+ years experience in technical writing, knowledge of DITA or Markdown",Document software products and features,"$70,000-$90,000","Remote work, unlimited PTO",2023/3/29,Full-time,Remote
23,Solutions Architect,IT,AussieSolutions,Design infrastructure solutions that meet business requirements,5+ years experience architecting enterprise solutions,Advise clients on optimal cloud or on-prem solutions,"$130,000-$160,000","401k matching, remote work options",2023/4/11,Full-time,Canberra
24,QA Automation Engineer,QA,TestRight,Develop and execute automated test suites and scripts,"3+ years experience in test automation, Selenium knowledge","Improve test coverage, implement CI/CD testing","$80,000-$100,000","Annual testing tools stipend, flexible hours",2023/4/22,Full-time,Perth
25,Product Manager,Product,Marsupial,"Define product vision, gather requirements, prioritize features",5+ years experience in product management,"Develop roadmaps, analyze markets, communicate with stakeholders","$110,000-$140,000","Unlimited PTO, annual product management conference",2023/5/15,Full-time,Sydney
26,Data Scientist,Analytics,Kaggle Corp,"Build machine learning models, identify trends through analysis","PhD in statistics or computer science, Python and R","Collect, clean and analyze large datasets, optimize models","$120,000-$150,000","401k matching, unlimited PTO",2023/4/12,Full-time,Sydney
27,UX Researcher,Design,Wallaby UX,"Conduct user research through interviews, surveys, and usability testing","2+ years in UX research roles, knowledge of research methods","Recruit participants, analyze findings, communicate insights","$80,000-$100,000","Annual stipend for tools and conferences, unlimited PTO",2023/5/1,Full-time,Brisbane
28,Technical Product Manager,Product,DevRel,"Define requirements for developer tools and APIs, monitor adoption",5+ years experience in technical product management,"Create product docs, monitor community, analyze usage data","$110,000-$140,000","401k matching, unlimited PTO, remote work",2023/4/15,Full-time,Melbourne
29,Information Security Analyst,IT,SecureNet,"Monitor systems for security threats, ensure compliance","Security certifications like Security+, CISA","Evaluate vulnerabilities, recommend remediations","$70,000-$90,000","Remote work, annual training stipend",2023/3/22,Full-time,Canberra
30,Sales Engineer,Sales,CloudWise,Provide technical guidance and support to sales team,"5+ years experience, knowledge of company products","Give product demos, develop quotes, troubleshoot issues","$90,000-$120,000 + commission","401k matching, car stipend",2023/4/29,Full-time,Brisbane
31,Software Architect,Engineering,Design Systems,"Design complex software systems, define architecture",7+ years of software development experience,"Develop technical standards, provide guidance to developers","$130,000-$160,000","401k matching, unlimited PTO",2023/5/15,Full-time,Sydney
32,Solutions Consultant,IT,AussieSolutions,Guide clients through technical implementation planning,3+ years experience in solutions consulting/architecture,Advise clients on optimal configurations and integration,"$90,000-$120,000 + commission","401k matching, flexible remote work",2023/4/12,Full-time,Brisbane
33,Network Administrator,IT,Aussie Networks,"Install, configure, and maintain networking infrastructure","CCNA or similar certification, 2+ years experience","Troubleshoot network issues, manage switches and firewalls","$70,000-$90,000","401k matching, on-call stipend",2023/4/1,Full-time,Adelaide
34,Software Developer,Engineering,DevHQ,"Design, implement, integrate, and support software solutions","3+ years experience with C#, Java, or similar languages","Write clean, maintainable code, perform code reviews","$80,000-$100,000","Unlimited PTO, annual education stipend",2023/5/15,Full-time,Perth
35,Systems Engineer,IT,SysOps Corporation,"Deploy and manage servers, storage, networking",3+ years experience in systems administration,"Automate processes, monitor performance","$80,000-$100,000","401k matching, flexible remote work",2023/4/18,Full-time,Adelaide
36,Full Stack Developer,Engineering,StacksOnStacks,Develop front end UI and back end logic for web apps,"3+ years experience with JavaScript, Node.js, React","Implement responsive design, develop REST APIs","$90,000-$120,000","Unlimited PTO, annual conference budget",2023/5/5,Full-time,Perth
37,Data Engineer,Data,Big Cloud Analytics,"Develop data pipelines, build warehouses and data lakes","5+ years experience, expertise with Spark, ETL processes","Architect data models, develop infrastructure","$100,000-$130,000","401k matching, unlimited PTO",2023/4/28,Full-time,Canberra
38,DevOps Engineer,IT,CloudCI,"Implement CI/CD pipelines, automate deployments","3+ years experience with AWS, Docker, and automation tools","Improve deployment processes, manage infrastructure as code","$110,000-$140,000","401k matching, unlimited PTO",2023/5/12,Full-time,Sydney
39,Product Manager,Product,Roos,"Define product vision, analyze markets, prioritize features",5+ years experience in product management,"Develop roadmaps, communicate with stakeholders","$110,000-$140,000","Unlimited PTO, annual product management conference",2023/4/20,Full-time,Sydney
40,Cloud Architect,IT,SkyNet,"Design cloud infrastructure, migrate systems to cloud","AWS/Azure/GCP certifications, 5+ years experience","Manage costs, ensure reliability and security","$130,000-$160,000","Annual cloud training stipend, remote work options",2023/5/5,Full-time,Brisbane
41,iOS Developer,Engineering,Wallaby Apps,"Design, develop, and support iOS mobile applications",3+ years experience with Swift and iOS SDK,"Implement new features, ensure responsiveness","$90,000-$110,000","Annual iPhone upgrade, unlimited PTO",2023/4/12,Full-time,Brisbane
42,Android Developer,Engineering,RooTech,"Design, develop, and support Android mobile applications",3+ years experience with Kotlin and Android SDK,"Implement new features, ensure responsiveness","$90,000-$110,000","Annual Android phone upgrade, unlimited PTO",2023/4/15,Full-time,Adelaide
43,Site Reliability Engineer,IT,ReliableCloud,"Automate and monitor systems, ensure uptime","3+ years Linux experience, expertise with automation tools","Detect anomalies, troubleshoot issues, resolve outages","$100,000-$130,000","401k matching, unlimited PTO",2023/5/1,Full-time,Sydney
44,Solutions Architect,IT,AussieCloud,Design optimal cloud solutions that meet business needs,5+ years experience architecting cloud solutions,"Advise clients on approaches, design architectures","$120,000-$150,000","Annual cloud training budget, remote work options",2023/4/29,Full-time,Melbourne
45,Technical Product Manager,Product,Dev Products AU,Define requirements for developer tools and APIs,5+ years experience in technical product management,"Create technical docs, analyze product metrics","$120,000-$150,000","401k matching, unlimited PTO, remote work",2023/5/15,Full-time,Melbourne
46,Data Scientist,Analytics,Insights LLC,"Develop machine learning models, identify insights","PhD in data science or related field, Python/R expertise","Collect, clean, and analyze complex datasets","$120,000-$150,000","401k matching, unlimited PTO",2023/4/1,Full-time,Melbourne
47,Front End Developer,Engineering,WebDev AU,Develop responsive web applications using React,3+ years of experience with HTML/CSS/JavaScript,"Optimize performance, implement best practices","$80,000-$100,000","Annual tech conference budget, unlimited PTO",2023/4/15,Full-time,Melbourne
48,Back End Developer,Engineering,APIs-R-Us,"Develop APIs, databases, servers for applications","5+ years experience with Node.js, Python or Java","Integrate third party APIs, optimize performance","$100,000-$130,000","401k matching, unlimited PTO",2023/5/1,Full-time,Canberra
49,Software Developer,Engineering,CodeCorp AU,"Design, develop, and support software solutions","3+ years experience with C#, Java or similar languages","Write clean, reusable code, perform code reviews","$90,000-$110,000","Unlimited PTO, annual education budget",2023/4/29,Full-time,Sydney
50,Software Engineer,Engineering,AussieTech,"Design, develop, and integrate software applications",Bachelor's in computer science or related field,"Write scalable, maintainable code in Java, C#, etc.","$80,000-$100,000","401k matching, unlimited PTO",2023/5/15,Full-time,Melbourne
51,Systems Administrator,IT,Admins United,"Deploy, secure, monitor servers and systems","3+ years managing Linux, Windows Server environments","Automate tasks, troubleshoot issues, implement monitoring","$70,000-$90,000","401k matching, unlimited PTO",2023/4/12,Full-time,Brisbane
52,Network Engineer,IT,Aussie Networks,"Architect, implement, and support networking solutions","CCNP or CCIE certification, 3+ years experience","Configure switches, routers, firewalls","$90,000-$110,000","401k matching, on-call stipend",2023/5/1,Full-time, Adelaide
53,Security Engineer,IT,SecureNet AU,Implement security solutions across infrastructure,"CISSP, CISA or related certifications","Evaluate risks, recommend remediations","$90,000-$120,000","Remote work, annual training budget",2023/4/18,Full-time, Perth
54,Technical Support Engineer,IT,AusSupport,Provide technical support and troubleshooting for customers,2+ years experience in a technical support role,"Diagnose and resolve customer issues via email, phone, tickets","$60,000-$80,000","401k matching, unlimited PTO",2023/4/5,Full-time, Brisbane
55,Solutions Architect,IT,Aussie Solutions,Design infrastructure solutions to meet business needs,5+ years experience architecting enterprise solutions,Advise clients on optimal cloud or hybrid solutions,"$120,000-$150,000","401k matching, remote work options",2023/5/10,Full-time, Canberra
56,Mobile Developer,Engineering,MobiDev,"Design, develop, and support iOS and Android apps","3+ years of experience with Kotlin, Swift, React Native","Implement new features, publish to app stores","$90,000-$110,000","Unlimited PTO, annual mobile stipend",2023/4/15,Full-time, Brisbane
57,Database Administrator,IT,DBAs United,"Deploy, secure, monitor, and optimize databases","3+ years managing Oracle, SQL Server, MySQL","Ensure uptime and performance, manage users","$80,000-$100,000","401k matching, unlimited PTO",2023/05/01,Full-time, Brisbane
58,Project Manager,Management,DeliveriesRUs,"Manage project schedules, resources, and communications","PMP certification, 3+ years experience leading projects","Create plans, manage stakeholders, identify risks","$90,000-$110,000","401k matching, unlimited PTO",2023/04/15,Full-time, Brisbane
59,Data Analyst,Analytics,Insights Corp,"Collect, clean, and analyze data to drive insights","Bachelor's in statistics, mathematics or analytics","Visualize and present findings to stakeholders","$70,000-$90,000","401k matching, unlimited PTO",2023/05/01,Full-time, Adelaide
60,DevOps Engineer,IT,CloudOps AU,"Implement CI/CD, automate infrastructure and processes","3+ years experience with DevOps tools and methods","Improve deployment processes, monitor systems","$100,000-$130,000","401k matching, unlimited PTO",2023/04/22,Full-time, Perth
61,Business Analyst,Business,BizOps,"Document requirements, create user stories, support testing","2+ years experience in business or systems analysis","Facilitate communications between teams, define requirements","$70,000-$90,000","401k matching, unlimited PTO",2023/05/15,Full-time, Canberra
62,Software Engineer,Engineering,DevHQ,"Design, develop, and maintain software solutions","3+ years experience with Java, C# or similar languages","Write clean, reusable code, perform code reviews","$90,000-$110,000","Unlimited PTO, annual tech budget",2023/04/15,Full-time, Brisbane
63,Cloud Architect,IT,AussieCloud,"Design and implement cloud infrastructure and architectures","AWS/Azure/GCP certifications, 5+ years experience","Migrate systems to cloud, optimize costs","$130,000-$160,000","Annual cloud training budget, remote work",2023/05/01,Full-time, Canberra
64,Data Scientist,Analytics,Insights LLC,"Build predictive models, identify trends through analysis","PhD in statistics or computer science, Python/R expertise","Collect, clean, and analyze complex data sets","$120,000-$150,000","401k matching, unlimited PTO",2023/04/29,Full-time, Canberra
65,Software Developer,Engineering,DevHQ,"Design, implement, and support software solutions","3+ years experience with Java, C#, Python or similar","Write clean, reusable code, fix bugs","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/05/15,Full-time, Sydney
66,DevOps Engineer,IT,CloudDeploy,"Implement CI/CD pipelines, automate processes","3+ years experience with AWS, Docker, Kubernetes","Improve deployment processes, monitor systems","$110,000-$140,000","401k matching, unlimited PTO",2023/04/20,Full-time, Melbourne
67,Solutions Architect,IT,AussieSolutions,"Design infrastructure solutions to meet requirements","5+ years experience architecting enterprise solutions","Advise clients on optimal cloud or hybrid solutions","$120,000-$150,000","401k matching, remote work options",2023/04/29,Full-time, Brisbane
68,Network Engineer,IT,AussieNetworks,"Design, implement and support network infrastructure","CCNP certification, 3+ years networking experience","Configure switches, routers, troubleshoot issues","$90,000-$110,000","401k matching, on-call stipend",2023/05/12,Full-time, Brisbane
69,Full Stack Developer,Engineering,StacksOnStacks,"Develop front end UI and back end logic for web apps","3+ years with JavaScript, Node.js, React, MongoDB","Implement responsive design, develop REST APIs","$90,000-$120,000","Unlimited PTO, annual conference budget",2023/04/28,Full-time, Brisbane
70,Android Developer,Engineering,Roos,"Design, develop, and support Android applications","3+ years experience with Kotlin and Android SDK","Implement new features, publish to Play Store","$90,000-$110,000","Annual Android phone stipend, unlimited PTO",2023/05/05,Full-time, Brisbane
71,Technical Writer,Writing,WrittenWord,"Create user guides, online help, and process docs","2+ years experience in technical writing, knowledge of DITA","Document products, features, APIs for developers","$70,000-$90,000","Remote work, unlimited PTO",2023/04/15,Full-time, Brisbane
72,Sales Engineer,Sales,AussieCloudSales,"Provide technical guidance to sales team and clients","5+ years experience, knowledge of company products","Give demos, develop quotes, troubleshoot issues","$90,000-$120,000 + commission","401k matching, car stipend",2023/05/01,Full-time, Brisbane
73,Security Engineer,IT,SecureNetAU,"Implement security solutions across infrastructure","CISA, CISSP or related certifications ","Evaluate risks, recommend remediations","$90,000-$120,000","Remote work options, annual training budget",2023/04/29,Full-time, Melbourne
74,Backend Developer,Engineering,APIsRUs,"Develop APIs, databases, servers for applications","5+ years with Node.js, Java, Python or Golang","Integrate third party services, optimize performance","$100,000-$130,000","401k matching, unlimited PTO",2023/05/15,Full-time, Brisbane
75,Frontend Developer,Engineering,OutbackDev,"Develop responsive web apps using React","3+ years experience with HTML, CSS, JavaScript","Implement responsive design, integrate APIs","$80,000-$100,000","Annual conference budget, unlimited PTO",2023/04/20,Full-time, Melbourne
76,DevOps Engineer,IT,CloudCI,"Implement CI/CD pipelines, infrastructure automation","3+ years experience with AWS, Docker, Ansible","Improve deployment processes, monitor systems","$110,000-$140,000","401k matching, unlimited PTO",2023/05/05,Full-time, Sydney
77,Cloud Architect,IT,AussieCloud,"Design and implement cloud architecture","AWS/Azure certification, 5+ years experience","Migrate systems to cloud, optimize costs","$130,000-$160,000","Annual cloud training budget, remote work",2023/04/28,Full-time, Canberra
78,Data Engineer,Data,BigCloudAnalytics,"Develop data pipelines, build data warehouses","5+ years experience, expertise with Spark, ETL processes","Design data architecture, integrate systems","$100,000-$130,000","401k matching, unlimited PTO",2023/05/01,Full-time, Melbourne
79,Solutions Architect,IT,AussieSolutions,"Design infrastructure solutions to meet requirements","5+ years experience architecting enterprise solutions","Advise clients on optimal cloud or hybrid solutions","$120,000-$150,000","401k matching, remote work options",2023/04/22,Full-time, Canberra
80,Software Developer,Engineering,DevHQ,"Design, implement, integrate and support software","3+ years with Java, C# or similar languages","Write clean, reusable code, perform code reviews","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/05/10,Full-time, Perth
81,Systems Administrator,IT,SysAdminsAU,"Deploy, secure, monitor servers and infrastructure","3+ years managing Linux, Windows Server","Automate tasks, implement monitoring","$70,000-$90,000","401k matching, unlimited PTO",2023/04/18,Full-time, Brisbane
82,Network Engineer,IT,AussieNetworks,"Design, implement, and support network solutions","CCNP or CCIE certification, 3+ years experience","Configure routers, switches, troubleshoot issues","$90,000-$110,000","401k matching, on-call stipend",2023/05/05,Full-time, Brisbane
83,Database Administrator,IT,DBAsUnited,"Deploy, secure, monitor, optimize databases","3+ years managing Oracle, SQL Server, MySQL","Ensure uptime and performance","$80,000-$100,000","401k matching, unlimited PTO",2023/04/29,Full-time, Perth
84,Project Manager,Management,DeliveriesRUs,"Manage project schedules, resources, communications","PMP certification, 3+ years experience","Create plans, manage stakeholders","$90,000-$110,000","401k matching, unlimited PTO",2023/05/01,Full-time, Canberra
85,Data Analyst,Analytics,InsightsCorp,"Collect, clean, analyze data to drive insights","Bachelor's in statistics, mathematics or analytics","Visualize and present findings to stakeholders","$70,000-$90,000","401k matching, unlimited PTO",2023/04/20,Full-time, Melbourne
86,Business Analyst,Business,BizOpsAU,"Document requirements, create user stories, support testing","2+ years experience in business or systems analysis","Facilitate communications, define requirements","$70,000-$90,000","401k matching, unlimited PTO",2023/05/10,Full-time, Melbourne
87,iOS Developer,Engineering,WallabyApps,"Design, develop and support iOS applications","3+ years with Swift and iOS SDK","Implement new features, ensure responsiveness","$90,000-$110,000","Annual iPhone upgrade, unlimited PTO",2023/04/29,Full-time, Melbourne
88,Android Developer,Engineering,RooTech,"Design, develop, and support Android applications","3+ years experience with Kotlin and Android SDK","Implement new features, publish to Play Store","$90,000-$110,000","Annual Android phone stipend, unlimited PTO",2023/05/15,Full-time, Sydney
89,UX Researcher,Design,WallabyUX,"Conduct user research through interviews, surveys, testing","2+ years in UX research roles","Recruit participants, analyze findings","$80,000-$100,000","Annual UX research budget, unlimited PTO",2023/04/20,Full-time, Sydney
90,Technical Program Manager,Management,TasmanSolutions,"Coordinate engineering resources, manage timelines","3+ years experience program management, PMP preferred","Create and manage project plans","$100,000-$130,000","401k matching, unlimited PTO",2023/05/05,Full-time, Canberra
91,Solutions Consultant,IT,AussieCloudPartners,"Guide clients through technical implementation","3+ years solutions consulting/architecture experience","Advise clients on optimal configurations","$90,000-$120,000 + commission","401k matching, flexible remote work",2023/04/22,Full-time, Melbourne
92,Software Developer,Engineering,DevHQ,"Design, implement, integrate and support software","3+ years with Java, C# or similar languages","Write clean, reusable code, perform code reviews","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/05/01,Full-time, Sydney
93,Back End Developer,Engineering,APIsRUs,"Develop APIs, databases, servers for applications","5+ years with Node.js, Java, Python or Golang","Integrate third party services, optimize performance","$100,000-$130,000","401k matching, unlimited PTO",2023/04/29,Full-time, Brisbane
94,Front End Developer,Engineering,OutbackDev,"Develop responsive web apps using React","3+ years experience with HTML, CSS, JavaScript","Implement responsive design, integrate APIs","$80,000-$100,000","Annual conference budget, unlimited PTO",2023/05/15,Full-time, Perth
95,Software Developer,Engineering,CodeCorpAU,"Design, develop, and support software solutions","3+ years with Java, C#, Python or similar languages","Write clean, reusable code, fix bugs","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/04/20,Full-time, Adelaide
96,Systems Administrator,IT,SysAdminsAU,"Deploy, secure, monitor servers and infrastructure","3+ years managing Linux, Windows Server","Automate tasks, implement monitoring","$70,000-$90,000","401k matching, unlimited PTO",2023/05/01,Full-time, Brisbane
97,Network Engineer,IT,AussieNetworks,"Design, implement, and support network solutions","CCNP or CCIE certification, 3+ years experience","Configure routers, switches, troubleshoot issues","$90,000-$110,000","401k matching, on-call stipend",2023/04/29,Full-time, Canberra
98,Database Administrator,IT,DBAsUnited,"Deploy, secure, monitor, optimize databases","3+ years managing Oracle, SQL Server, MySQL","Ensure uptime and performance","$80,000-$100,000","401k matching, unlimited PTO",2023/05/10,Full-time, Brisbane
99,Project Manager,Management,DeliveriesRUs,"Manage project schedules, resources, communications","PMP certification, 3+ years experience","Create plans, manage stakeholders","$90,000-$110,000","401k matching, unlimited PTO",2023/04/22,Full-time, Adelaide
100,Data Analyst,Analytics,InsightsCorp,"Collect, clean, analyze data to drive insights","Bachelor's in statistics, mathematics or analytics","Visualize and present findings to stakeholders","$70,000-$90,000","401k matching, unlimited PTO",2023/05/05,Full-time, Melbourne
101,Business Analyst,Business,BizOpsAU,"Document requirements, create user stories, support testing","2+ years experience in business or systems analysis","Facilitate communications, define requirements","$70,000-$90,000","401k matching, unlimited PTO",2023/04/18,Full-time, Sydney
102,iOS Developer,Engineering,WallabyApps,"Design, develop and support iOS applications","3+ years with Swift and iOS SDK","Implement new features, ensure responsiveness","$90,000-$110,000","Annual iPhone upgrade, unlimited PTO",2023/05/01,Full-time, Sydney
103,Android Developer,Engineering,RooTech,"Design, develop, and support Android applications","3+ years experience with Kotlin and Android SDK","Implement new features, publish to Play Store","$90,000-$110,000","Annual Android phone stipend, unlimited PTO",2023/04/29,Full-time, Brisbane
104,UX Researcher,Design,WallabyUX,"Conduct user research through interviews, surveys, testing","2+ years in UX research roles","Recruit participants, analyze findings","$80,000-$100,000","Annual UX research budget, unlimited PTO",2023/05/15,Full-time, Perth
105,Technical Program Manager,Management,TasmanSolutions,"Coordinate engineering resources, manage timelines","3+ years experience program management, PMP preferred","Create and manage project plans","$100,000-$130,000","401k matching, unlimited PTO",2023/04/20,Full-time, Sydney
106,Solutions Consultant,IT,AussieCloudPartners,"Guide clients through technical implementation","3+ years solutions consulting/architecture experience","Advise clients on optimal configurations","$90,000-$120,000 + commission","401k matching, flexible remote work",2023/05/01,Full-time, Canberra
107,Software Developer,Engineering,DevHQ,"Design, implement, integrate and support software","3+ years with Java, C# or similar languages","Write clean, reusable code, perform code reviews","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/04/22,Full-time, Perth
108,Back End Developer,Engineering,APIsRUs,"Develop APIs, databases, servers for applications","5+ years with Node.js, Java, Python or Golang","Integrate third party services, optimize performance","$100,000-$130,000","401k matching, unlimited PTO",2023/05/10,Full-time, Canberra
109,Front End Developer,Engineering,OutbackDev,"Develop responsive web apps using React","3+ years experience with HTML, CSS, JavaScript","Implement responsive design, integrate APIs","$80,000-$100,000","Annual conference budget, unlimited PTO",2023/04/29,Full-time, Perth
110,Software Developer,Engineering,CodeCorpAU,"Design, develop, and support software solutions","3+ years with Java, C#, Python or similar languages","Write clean, reusable code, fix bugs","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/05/15,Full-time, Brisbane
111,Systems Administrator,IT,SysAdminsAU,"Deploy, secure, monitor servers and infrastructure","3+ years managing Linux, Windows Server","Automate tasks, implement monitoring","$70,000-$90,000","401k matching, unlimited PTO",2023/04/20,Full-time, Sydney
112,Network Engineer,IT,AussieNetworks,"Design, implement, and support network solutions","CCNP or CCIE certification, 3+ years experience","Configure routers, switches, troubleshoot issues","$90,000-$110,000","401k matching, on-call stipend",2023/05/01,Full-time, Perth
113,Database Administrator,IT,DBAsUnited,"Deploy, secure, monitor, optimize databases","3+ years managing Oracle, SQL Server, MySQL","Ensure uptime and performance","$80,000-$100,000","401k matching, unlimited PTO",2023/04/29,Full-time, Melbourne
114,Project Manager,Management,DeliveriesRUs,"Manage project schedules, resources, communications","PMP certification, 3+ years experience","Create plans, manage stakeholders","$90,000-$110,000","401k matching, unlimited PTO",2023/05/15,Full-time, Perth
115,Data Analyst,Analytics,InsightsCorp,"Collect, clean, analyze data to drive insights","Bachelor's in statistics, mathematics or analytics","Visualize and present findings to stakeholders","$70,000-$90,000","401k matching, unlimited PTO",2023/04/20,Full-time, Canberra
116,Business Analyst,Business,BizOpsAU,"Document requirements, create user stories, support testing","2+ years experience in business or systems analysis","Facilitate communications, define requirements","$70,000-$90,000","401k matching, unlimited PTO",2023/05/01,Full-time, Sydney
117,iOS Developer,Engineering,WallabyApps,"Design, develop and support iOS applications","3+ years with Swift and iOS SDK","Implement new features, ensure responsiveness","$90,000-$110,000","Annual iPhone upgrade, unlimited PTO",2023/04/22,Full-time, Brisbane
118,Android Developer,Engineering,RooTech,"Design, develop, and support Android applications","3+ years experience with Kotlin and Android SDK","Implement new features, publish to Play Store","$90,000-$110,000","Annual Android phone stipend, unlimited PTO",2023/05/10,Full-time, Perth
119,UX Researcher,Design,WallabyUX,"Conduct user research through interviews, surveys, testing","2+ years in UX research roles","Recruit participants, analyze findings","$80,000-$100,000","Annual UX research budget, unlimited PTO",2023/04/29,Full-time, Sydney
120,Technical Program Manager,Management,TasmanSolutions,"Coordinate engineering resources, manage timelines","3+ years experience program management, PMP preferred","Create and manage project plans","$100,000-$130,000","401k matching, unlimited PTO",2023/05/15,Full-time, Brisbane
